,precision,recall,f1-score,support
Dropout,0.9327102803738317,0.9450757575757576,0.9388523047977423,528.0
Enrolled,0.9383429672447013,0.9035250463821892,0.9206049149338374,539.0
Graduate,0.9327102803738317,0.9559386973180076,0.9441816461684012,522.0
accuracy,0.934550031466331,0.934550031466331,0.934550031466331,0.934550031466331
macro avg,0.9345878426641216,0.934846500425318,0.934546288633327,1589.0
weighted avg,0.9346209274621885,0.934550031466331,0.9344133954578047,1589.0
