,precision,recall,f1-score,support
Dropout,0.9122055674518201,0.8068181818181818,0.8562814070351759,528.0
Enrolled,0.8218181818181818,0.8385899814471243,0.830119375573921,539.0
Graduate,0.8269230769230769,0.9061302681992337,0.8647166361974405,522.0
accuracy,0.8502202643171806,0.8502202643171806,0.8502202643171806,0.8502202643171806
macro avg,0.8536489420643596,0.8505128104881798,0.8503724729355125,1589.0
weighted avg,0.853529506462182,0.8502202643171806,0.8501781060062809,1589.0
